,Node,Structure_Type,Structure_Name,Structure_Definition
14,edge-tk03,Route_Filter_List,as65560-advd-ipv4,"{'lines': [{'action': 'PERMIT', 'ipWildcard': '10.100.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.110.0.0/20', 'lengthRange': '20-20'}, {'action': 'PERMIT', 'ipWildcard': '10.120.0.0/17', 'lengthRange': '17-17'}, {'action': 'PERMIT', 'ipWildcard': '10.130.0.0/21', 'lengthRange': '21-21'}], 'name': 'as65560-advd-ipv4', 'vendorStructureId': {'filename': 'configs/Edge-TK03', 'structureName': 'as65560-advd-ipv4', 'structureType': 'prefix-list'}}"
15,edge-tk01,Route_Filter_List,default-ipv4,"{'lines': [{'action': 'PERMIT', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '0-0'}], 'name': 'default-ipv4', 'vendorStructureId': {'filename': 'configs/Edge-TK01', 'structureName': 'default-ipv4', 'structureType': 'prefix-list'}}"
16,edge-tk02,Route_Filter_List,default-ipv4,"{'lines': [{'action': 'PERMIT', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '0-0'}], 'name': 'default-ipv4', 'vendorStructureId': {'filename': 'configs/Edge-TK02', 'structureName': 'default-ipv4', 'structureType': 'ipv4 prefix-list'}}"
17,edge-tk03,Route_Filter_List,default-ipv4,"{'lines': [{'action': 'PERMIT', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '0-0'}], 'name': 'default-ipv4', 'vendorStructureId': {'filename': 'configs/Edge-TK03', 'structureName': 'default-ipv4', 'structureType': 'prefix-list'}}"
18,edge-tk11,Route_Filter_List,default-ipv4,"{'lines': [{'action': 'PERMIT', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '0-0'}], 'name': 'default-ipv4', 'vendorStructureId': {'filename': 'configs/Edge-TK11', 'structureName': 'default-ipv4', 'structureType': 'ipv4 prefix-list'}}"
19,core-tk01,Route_Filter_List,ipv4-core:aggregate-static,"{'lines': [{'action': 'PERMIT', 'ipWildcard': '10.100.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.110.0.0/20', 'lengthRange': '20-20'}, {'action': 'PERMIT', 'ipWildcard': '10.120.0.0/17', 'lengthRange': '17-17'}, {'action': 'PERMIT', 'ipWildcard': '10.130.0.0/21', 'lengthRange': '21-21'}, {'action': 'PERMIT', 'ipWildcard': '172.31.255.1', 'lengthRange': '32-32'}], 'name': 'ipv4-core:aggregate-static'}"
20,core-tk02,Route_Filter_List,ipv4-core:aggregate-static,"{'lines': [{'action': 'PERMIT', 'ipWildcard': '10.100.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.110.0.0/20', 'lengthRange': '20-20'}, {'action': 'PERMIT', 'ipWildcard': '10.120.0.0/17', 'lengthRange': '17-17'}, {'action': 'PERMIT', 'ipWildcard': '10.130.0.0/21', 'lengthRange': '21-21'}, {'action': 'PERMIT', 'ipWildcard': '172.31.255.1', 'lengthRange': '32-32'}], 'name': 'ipv4-core:aggregate-static'}"
21,core-tk01,Route_Filter_List,ipv4-full:aggregate-static,"{'lines': [{'action': 'PERMIT', 'ipWildcard': '10.100.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.110.0.0/20', 'lengthRange': '20-20'}, {'action': 'PERMIT', 'ipWildcard': '10.120.0.0/17', 'lengthRange': '17-17'}, {'action': 'PERMIT', 'ipWildcard': '10.130.0.0/21', 'lengthRange': '21-21'}, {'action': 'PERMIT', 'ipWildcard': '172.31.255.1', 'lengthRange': '32-32'}], 'name': 'ipv4-full:aggregate-static'}"
22,core-tk01,Route_Filter_List,ipv4-full:default-static,"{'lines': [{'action': 'PERMIT', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '0-0'}], 'name': 'ipv4-full:default-static'}"
23,core-tk02,Route_Filter_List,ipv4-full:default-static,"{'lines': [{'action': 'PERMIT', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '0-0'}], 'name': 'ipv4-full:default-static'}"
24,edge-tk02,Route_Filter_List,longer24-ipv4,"{'lines': [{'action': 'PERMIT', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '25-32'}], 'name': 'longer24-ipv4', 'vendorStructureId': {'filename': 'configs/Edge-TK02', 'structureName': 'longer24-ipv4', 'structureType': 'ipv4 prefix-list'}}"
25,edge-tk11,Route_Filter_List,longer24-ipv4,"{'lines': [{'action': 'PERMIT', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '25-32'}], 'name': 'longer24-ipv4', 'vendorStructureId': {'filename': 'configs/Edge-TK11', 'structureName': 'longer24-ipv4', 'structureType': 'ipv4 prefix-list'}}"
26,edge-tk01,Route_Filter_List,reject-in-rule-ipv4:10,"{'lines': [{'action': 'PERMIT', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '25-32'}], 'name': 'reject-in-rule-ipv4:10'}"
27,edge-tk03,Route_Filter_List,reject-in-rule-ipv4:10,"{'lines': [{'action': 'PERMIT', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '25-32'}], 'name': 'reject-in-rule-ipv4:10'}"
