,Node,VRF,Process_ID,Area,Area_Type,Active_Interfaces,Passive_Interfaces
0,edge-tk11,default,65500,0,NONE,"['GigabitEthernet0/0/0/0', 'Loopback0']",[]
1,core-tk01,default,default,0,NONE,"['ge-0/0/0.0', 'lo0.0']",[]
2,edge-tk03,default,default,0,NONE,"['ge-0/0/0.0', 'lo0.0']",[]
3,edge-tk01,default,default,0,NONE,"['ge-0/0/0.0', 'lo0.0']",[]
4,edge-tk02,default,65500,0,NONE,"['GigabitEthernet0/0/0/0', 'Loopback0']",[]
5,core-tk02,default,default,0,NONE,"['ge-0/0/0.0', 'lo0.0']",[]
