,Node,VLAN_ID,Interfaces,VXLAN_VNI
0,regionb-rt2,1,"[regionb-rt2[Ethernet3], regionb-rt2[Ethernet4], regionb-rt2[Ethernet5], regionb-rt2[Ethernet6], regionb-rt2[Ethernet7], regionb-rt2[Ethernet8], regionb-rt2[Ethernet9], regionb-rt2[Ethernet10], regionb-rt2[Ethernet11], regionb-rt2[Ethernet12], regionb-rt2[Ethernet13], regionb-rt2[Ethernet14], regionb-rt2[Ethernet15], regionb-rt2[Ethernet16], regionb-rt2[Ethernet17], regionb-rt2[Ethernet18], regionb-rt2[Ethernet19]]",
1,regionb-rt1,1,"[regionb-rt1[Ethernet4], regionb-rt1[Ethernet5], regionb-rt1[Ethernet6], regionb-rt1[Ethernet7], regionb-rt1[Ethernet8], regionb-rt1[Ethernet9], regionb-rt1[Ethernet10], regionb-rt1[Ethernet11], regionb-rt1[Ethernet12], regionb-rt1[Ethernet13], regionb-rt1[Ethernet14], regionb-rt1[Ethernet15], regionb-rt1[Ethernet16], regionb-rt1[Ethernet17], regionb-rt1[Ethernet18], regionb-rt1[Ethernet19]]",
