,Node,VRF,Process_ID,Areas,Reference_Bandwidth,Router_ID,Export_Policy_Sources,Area_Border_Router
0,regionb-ce02,default,default,['0'],1000000000.0,2.2.2.5,['EXPORTDIRECT'],False
1,regionb-ce01,default,default,['0'],1000000000.0,2.2.2.4,['EXPORTDIRECT'],False
2,regionb-pe01,default,default,['0'],1000000000.0,2.2.2.2,"['ospf-default', 'ospf3-default']",False
3,regiona-pe02,default,default,['0'],1000000000.0,1.1.1.2,"['ospf-default', 'ospf3-default']",False
4,regiona-pe01,default,default,['0'],1000000000.0,1.1.1.1,"['ospf-default', 'ospf3-default']",False
5,regionb-pe02,default,default,['0'],1000000000.0,2.2.2.3,"['ospf-default', 'ospf3-default']",False
6,regiona-ce02,default,1,['0'],10000000.0,1.1.1.4,[],False
7,regiona-ce01,default,1,['0'],10000000.0,1.1.1.3,[],False
